Name,Elevation_ft,Latitude,Longitude,0,Sum_2024-04-01_to_2024-05-01,Sum_2024-04-01_to_2024-06-01,Sum_2024-04-01_to_2024-07-01,Sum_2024-04-01_to_2024-08-01,Sum_2024-04-01_to_2024-09-01
KAZGREEN141,2950,31.84,-110.97,245,1.6083478244622003,3.0937657058257777,4.82094603550363,7.478946571943846,9.732755711073715
KAZGREEN15,4367,31.76,-110.85,245,1.7741495199626274,3.2547203653980494,5.01116967286193,8.169944316844603,10.737439968981091
KAZGREEN153,2956,31.87,-110.93,241,1.6214030540815378,3.1080721721316387,4.800832816352103,7.37329809685894,9.63114858161322
KAZGREEN175,2913,31.83,-110.98,245,1.6011969366830399,3.0864342154572713,4.818769626434806,7.5145542498546805,9.789985238285105
KAZGREEN232,2851,31.9,-110.94,196,0.7709442783621224,2.1176982198205447,3.6108287318011634,4.269022430953975,5.945935077876027
KAZGREEN241,2904,31.85,-110.97,245,1.6097101863724417,3.09616722391842,4.817309087960419,7.452709364641976,9.693458977042278
KAZSAHUA112,2980,31.94,-110.86,78,0.0,0.0,0.9821230662745007,3.4804437130571313,5.696102711582628
KAZSAHUA24,2838,31.92,-110.92,245,1.625922697891281,3.114588910899055,4.78641498787295,7.262286227035791,9.480273536300848
KAZVAIL270,3038,31.96,-110.83,245,1.6513237045445315,3.137023280166225,4.846956982739514,7.3413696540555575,9.554176056160271
KAZVAIL276,3038,31.96,-110.83,245,1.6513237045445315,3.137023280166225,4.846956982739514,7.3413696540555575,9.554176056160271
KAZVAIL76,3484,31.93,-110.79,245,1.6506638553002284,3.135329143550918,4.908605638654096,7.427513462090842,9.821734892141402
